Brand,Product Name,Discount Price,Actual Price,Ratings
Priority,Men Others Back Pack,₹429,"₹1,799",4.3
Priority,Mens Laptop Bag  Pack,₹391,"₹1,199",4.1
SUPERDRY,Printed Montana Backpack,"₹3,849","₹5,499",4.2
Priority,Men Others Back Pack,₹391,"₹1,199",3.7
Wildcraft,Men Backpack with Multiple Compartments,"₹1,874","₹2,499",
OZUKO,9479 Range Backpack with Zip Closure,"₹3,955","₹11,300",
Skybags,Men Klan Plus Typographic Print Backpack,"₹1,680","₹2,400",2.7
Puma,Unisex Formstripe Backpack with Logo Print,"₹1,400","₹2,799",4.2
Awestuffs,Men Multifunction Laptop Backpack,₹645,"₹1,500",1.3
Priority,Men Back Pack,₹471,"₹1,599",4
Skybags,Men Klan Pro Graphic Print Backpack,"₹1,820","₹2,600",
Priority,Men Others Back Pack,₹375,"₹1,399",
Puma,Unisex Minimalist Brand Print Everyday Backpack,"₹1,125","₹2,799",
Priority,Others Back Pack,₹333,₹975,
Priority,Men Laptop Back Pack,₹387,"₹1,249",
Reebok,Solid Backpacks Bags,"₹1,874","₹2,499",
BAD HABIT,Textured Backpack with Adjustable Straps,"₹1,225","₹3,499",2.6
Skybags,Men Tango Geometric Print Backpack,₹750,"₹1,800",2.8
MUJI,Less Tiring Water-Repellent Backpack,"₹3,490",,3.6
Priority,"Unisex 17"" Laptop Backpack with Typographic Applique",₹419,"₹1,999",4
Puma,Man Puma Back Pack,"₹1,410","₹2,999",3.9
Priority,Men Others Back Pack,₹471,"₹1,599",4.5
F-GEAR,Unisex Typographic Print Backpack with Adjustable Straps,₹600,"₹1,580",
Skybags,Men Klan Brand Print Backpack,"₹1,470","₹2,100",4.1
Priority, Man Regular Fit  Back Pack,₹429,"₹1,799",
FUR JADEN,Backpack with Adjustable Shoulder Strap,"₹1,100","₹2,500",3.9
Stony Brook by Nasher Miles,Striped Travel Back Pack with Padded Straps,"₹1,040","₹2,599",
Wildcraft,Unisex Backpack with Logo Embroidery,"₹2,499",,
Pazzo,Travel Bag with Adjustable Strap,"₹1,200","₹2,499",3.3
Lunar's,Panelled Backpack with Adjustable Straps,₹849,"₹1,799",3.8
PERFORMAX,Men Logo Print Backpack,₹749,₹999,4
Skybags,Men Klan Typographic Print Backpack,"₹1,470","₹2,100",4.1
NIKE,Older Kid Faux Fur Backpack,"₹1,677","₹2,795",4.5
Lunar's,V-Line 35L Backpack,₹799,"₹1,799",3.7
Lunar's,Colourblock Laptop Travel Bag,₹850,"₹1,999",4
Wildcraft,Unisex Brand Print Backpack with Adjustable Straps,"₹1,699",,2.7
Wildcraft,Unisex Backpack with Adjustable Straps,"₹2,099",,
Wildcraft,Men Laptop Back Pack,"₹2,999",,
Wildcraft,Unisex Backpack with Multiple Compartments,"₹1,874","₹2,499",
Skybags,Men Colourblock BFF2 Backapack,"₹1,900",,2.7
Priority,College Back Pack,₹359,"₹1,599",
Skybags,Men Chester Plus Laptop Backpack,"₹1,900","₹4,000",4.3
Wildcraft,Unisex Laptop Back Pack,"₹1,499",,
ADIDAS,Clsc Bos Bp Sports Backpack,"₹1,819","₹2,799",3.7
Wildcraft,Unisex Back Pack,"₹2,799",,
Priority,Mens Laptop Bag  Pack,₹471,"₹1,599",
Puma,Printed Streak Backpack ,"₹1,035","₹2,299",4.1
F-GEAR,Men Quilted Backpack with Laptop Compartment,"₹1,452","₹2,740",4.2
Priority,"Unisex 17"" Laptop Backpack with Typographic Applique",₹559,"₹1,999",4.3
YOUSTA,Men Travel Sling Bag with Zip Closure,₹199,,4
SPYKAR,Men Colourblock Laptop Bag,"₹1,500","₹2,999",
